Artikelnummer im Shop;EAN / Barcodenummer;Original Herstellerartikelnummer;Herstellername;Produktname;Produktgruppe im Shop;Preis (Brutto);Lieferzeit;ProduktURL;BildURL_1 (großes Bild);BildURL_2 (großes Bild);BildURL_3 (großes Bild);Vorkasse;Vorkasse / Paypal Österreich;Nachnahme;Kreditkarte (z.B. nur bis 1000 EUR);Paypal;Sofortüberweisung;Bankeinzug;Rechnung;Moneybookers;Click & Buy;Giropay;Versandkosten Kommentar (max. 100 Zeichen);Produktbeschreibung (max. 1000 Zeichen);Grundpreis (Produktabhängig)
GA-1478444;;1478444;Invacare;Toilettengurt mit Kopfstütze Invacare GmbH;Personenlifter und Zubehör;198.0000;1-2 Wochen;https://www.brandvital.de/toilettengurt-mit-kopfstuetze-invacare-gmbh.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/toilettengurt_mit_kopfstuetze_5.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<h3><strong>Toilettengurt inklusive Kopfstütze von Invacare </strong></h3><br /><p>Der Toilettengurt mit Kopfstütze ermöglicht passiven Patienten einen schnellen und sicheren Transfer auf die Toilette. Optimale, weich gepolsterte Unterstützung für die Beine. Auch mit bereits angelegtem Gurt hat die Pflegeperson guten Zugang zur Kleidung.</p><br /><p><strong><br /></strong></p><br /><p><strong>Bitte wählen Sie den passenden Hebegurt  gem. nachstehender Gewichtsempfehlung:  </strong></p><br /><p>25 - 50 kg - Größe S - Farbe Orange<br /> 40 - 90 kg - Größe M - Farbe Gelb<br /> 80 - 130 kg - Größe L - Farbe Blau<br /><br /></p>;;
WE-1101-Reihe;;110138385;Werkmeister;Pneumolastik Schaumstoffkissen Werkmeister;Pflege > Pflegebetten und Zubehör > Lagerungshilfen;126;3-4 Tage;https://www.brandvital.de/pneumolastik-schaumstoffkissen-werkmeister.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/p/n/pneumolastik-sitzkissen_5.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;Um Dekubitus wirksam zu verhindern, spielt neben der Druckentlastung das Aufsitzklima eine entscheidende Rolle. Daher werden für diese Kissen Pneumolastic® Kissenbezüge eingesetzt. <br /><br />Die rippenartige Struktur des Materials verschließt sich auch beim Aufsitzen nie ganz. Feuchtigkeit wird schon beim Entstehen durch die freien Kanäle automatisch abgeführt. So entsteht ein optimales Mikroklima. Die Unterseite des Kissens ist rutschfest.;;
HD-81460_;7054320004159;814600;Topro;Leichtgewichtsrollator TOPRO Troja 2G Basic;Mobilität > Rollatoren und Zubehör > Leichtgewichtsrollatoren;369.0000;3-4 Tage;https://www.brandvital.de/leichtgewichtrollator-troja-2g-topro-m.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_troja_2g_5.jpg;https://www.brandvital.de/pub/media/catalog/product/s/o/sonderfarben_sd_24.jpg;https://www.brandvital.de/pub/media/catalog/product/t/r/troja_wei_.jpg;0;0;0;0;0;0;0;0;0;0;0;;<p style="text-align: justify ">Der TOPRO Troja 2G ist die konsequente Weiterentwicklung des Rollators TOPRO Troja Classic und bietet viele Verbesserungen gegenüber seinem ausgezeichneten Vorbild:</p><br /><p style="text-align: justify ">Das Aufstehen mit dem Rollator ist durch den von TOPRO entwickelten ERGO Grip viel leichter geworden. Auch bietet er einen neuen Standard für Sitz- und Schiebekomfort wo leichte Stöße abgefedert werden bzw. bequeme und sichere Armauflagen entstanden sind. Für jeden Untergrund die richtige Bereifung und das einfach und ohne großen Aufwand war der Wunsch vieler TOPRO Troja Kunden. Das TOPRO Quick System erlaubt Reifenwechsel in wenigen Sekunden und schon sind Sie auf Kopfsteinpflaster komfortabel und auf glatten Belägen rutschsicher bereift. Neue Taschen, edle Farben und eine breite Auswahl an Zubehör runden die Idee ab.</p><br /><p> </p><br /><p>In den Varianten Basic und Premium erhältlich. Die Bilder Zeigen die Variante Premium.</p><br /><h3> </h3><br /><p><iframe src="https://www.youtube.com/embed/r_dqWvZrC5E" width="560" height="315" frameborder="0"></iframe></p>;;
WM-26_;4050384000406;26110;Löwenstein Medical;Schlafapnoe- und Beatmungsmaske JOYCE ;Sauerstoffversorgung;99.9000;3-4 Tage;https://www.brandvital.de/schlafapnoe-und-beatmungsmaske-joyce-weinmann.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/j/o/joyce_nasal_schlafapnoe_5.jpg;https://www.brandvital.de/pub/media/catalog/product/j/o/joyce_nasal_beatmung.jpg;https://www.brandvital.de/pub/media/catalog/product/j/o/joyce_mund_nase_schlafapnoe.jpg;0;0;0;0;0;0;0;0;0;0;0;;JOYCE ist für jeden Schlafapnoe- und Heimbeatmungspatienten geeignet und individuell zusammenzustellen und verfügt so über eine perfekte Passform. Entscheidend dafür ist ihr Baukastenprinzip, nach dem nahezu alle Teile für alle Masken der JOYCE-Familie geeignet sind. Für weiteren Tragekomfort sorgt das rundum bewegliche Kugelgelenk der kleinen, leichten Maske. JOYCEs Ausatemsystem ist nicht nur sehr leise, sondern auch so konzipiert, dass weder der Patient noch sein Partner direkt von der ausströmenden Luft angestrahlt werden.<br />;;
HD-814014;7054328140149;814014;Topro;Topro Führungsgriff;Mobilität > Rollatoren und Zubehör > Rollatoren Zubehör;37.0000;3-4 Tage;https://www.brandvital.de/topro-troja-2g-fuehrungsgriff.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_troja_2g_fuehrungsgriff_466_0_5.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Topro Handgriff für Begleitperson.</p><br /><p>Für folgende TOPRO Modelle einsetzbar:</p><br /><ul><br /><li>Troja Classic</li><br /><li>2G</li><br /><li>Olympos</li><br /><li>Odyssé</li><br /><li>Troja Neuro</li><br /></ul>;;
HD- 8140_;;814035;Topro;Spikes für Schuhe;Alltagshilfen > Hilfsmittel allgemein;18.0000;3-4 Tage;https://www.brandvital.de/topro-troja-2g-spikes-fuer-schuhe.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_spikes_fuer_schuhe_5.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;Mit den Schuh-Spikes sind Sie auch bei Schnee und Eis sicher unterwegs. Die Schuh-Spikes sind in den Größen 37-40 und 41-46 erhältlich und lassen sich einfach an jeden festen (flachen) Schuh befestigen. Schuh-Spikes helfen so, das Risiko eines Sturzes zu minimieren. Die Lieferung erfolgt paarweise.;;
HD-814023_;7054328140231 ;814023;Topro;Topro Rollatorschloss;Mobilität > Rollatoren und Zubehör > Rollatoren Zubehör;20.0000;3-4 Tage;https://www.brandvital.de/topro-troja-2g-rollatorschloss.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_troja_2g_rollatorschloss_5.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>TOPRO Rollatorschloss, um Ihren Rollator vor einem Diebstahl zu schützen.</p><br /><p>Für folgedne TOPRO Modelle einetzbar:</p><br /><ul><br /><li>Troja Classic</li><br /><li>Troja 2G</li><br /><li>Olympos</li><br /></ul>;;
HD-814728;7054328147285;814728;Topro;Topro Tablett, aufschiebbar;Mobilität > Rollatoren und Zubehör > Rollatoren Zubehör;27.0000;3-4 Tage;https://www.brandvital.de/topro-troja-2g-tablett.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_troja_2g_tablett_7.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Zum Abstellen und Transportieren von Kaffee und Kuchen auf Ihrem Rollator. Das Tablett rastet sicher ein, ist leicht abzunehmen und zu reinigen. Für folgende TOPRO Modelle geeignet:</p><br /><ul><br /><li>Troja Classic</li><br /><li>Troja 2G</li><br /><li>Odyssé</li><br /></ul>;;
HD-814059;7054328140590;814059;Topro;Topro Antirutschmatte für Tablett;Mobilität > Rollatoren und Zubehör > Rollatoren Zubehör;18.0000;3-4 Tage;https://www.brandvital.de/topro-troja-2g-antirutsch-matte.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_2g_antirutsch-matta_5.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Topro Troja Antirutschmatte für den sicheren Transport Ihrer Tassen, Teller etc. auf dem Rollator.</p><br /><p>Für folgende TOPRO Modelle geeignet:</p><br /><ul><br /><li>Troja Classic</li><br /><li>Troja 2G</li><br /><li>Odyssé</li><br /></ul>;;
HD-814043_;7054328140439;814043;Topro;Topro Getränkehalter;Mobilität > Rollatoren und Zubehör > Rollatoren Zubehör;18.0000;3-4 Tage;https://www.brandvital.de/topro-troja-2g-getraenkehalter.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_2g_getraenkehalter_5.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Topro Getränkehalter damit der Durst jederzeit gelöscht werden kann (ohne Flasche). Für alle TOPRO Modelle einsetzbar.</p>;;
HD-814024_;7054328140248;814024;Topro;Topro Namensschild;Mobilität > Rollatoren und Zubehör > Rollatoren Zubehör;8.0000;3-4 Tage;https://www.brandvital.de/topro-troja-2g-namensschild.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_2g_namensschild_5.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Namensschild für den Rollator, um Verwechslungen Ihres TOPROs auszuschließen.</p><br /><p>Für folgende Modelle einsetzbar:</p><br /><ul><br /><li>TRoja Classic</li><br /><li>Troja 2G</li><br /><li>Troja Neuro</li><br /><li>Olympos</li><br /><li>Odyssé</li><br /></ul>;;
GA-perfecto2V;4250649130446;1521652-V;Invacare;Sauerstoffkonzentrator Perfecto2 V;Sauerstoffversorgung;599.0000;1-2 Wochen;https://www.brandvital.de/sauerstoffkonzentrator-invacare-gmbh-perfecto2.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/i/n/invacare_gmbh_perfecto_5.jpg;https://www.brandvital.de/pub/media/catalog/product/i/n/invacare_gmbh_perfecto_homefill.jpg;https://www.brandvital.de/pub/media/catalog/product/i/n/invacare_gmbh_perfecto_wartungsklappe.jpg;0;0;0;0;0;0;0;0;0;0;0;;Der Sauerstoffkonzentrator Perfecto2 V überzeugt durch geringere Verbrauchskosten und bietet aufgrund des besonders niedrigen Geräuschpegels (<37 dB (A)) noch mehr Komfort für den Nutzer. Er ermöglicht eine höchst effiziente Sauerstoffversorgung von bis zu 5 l/Min. Die Filterwartung erfolgt durch einen sich auf der Rückseite des Konzentrators befindlichen Zugang, welches eine einfache Wartung ermöglicht. Das SensO2-System mit Kontroll- und Anzeigeelementen gibt dem Nutzer eine permanente Sicherheit. Da Komponenten wie der Kom-pressor über 5 Jahre bzw. 40.000 Betriebsstunden wartungsfrei sind, bietet der Perfecto2 in Verbindung mit der Füllstation HomeFill ®  II die derzeit kostengünstigste Sauerstoffversorgung bezogen auf die Produktlebensdauer. <br /><br /><!--37--><br />;;
MAK-MD300C26;122926300123;MD300C26;MAKUtec;Pulsoximeter MAKUtec;Medizintechnik > Monitoring;79;1-2 Tage;https://www.brandvital.de/pulsoximeter-makutec.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/m/a/makutec_pulsoximeter_5.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;Der MD300C26 ist ein kleines, leichtes und tragbares Fingerpulsoximeter und dient zur schnellen mobilen Messung ihrer Pulsfrequenz und Sauerstoffsättigung. Ideal für unterwegs, in der Freizeit, bei der medizinischen Betreuung, beim Sport oder zur Überprüfung Ihrer Mobilitätswerte, in den Bereichen der inneren Medizin, Kinderheilkunde und Intensivpflege. Durch die gut lesbare Farbanzeige können Sie Ihre Werte in verschiedenen Darstellungen ablesen, ob Messwerte mit Pulswelle oder Balkendiagramm auf der in 90° verstellbaren Displayanzeige.<br />;;
TH-81_;;81030;Thomashilfen;Greifzange Thomashilfen selbstschließend;Alltagshilfen > Hilfsmittel allgemein;82;1-2 Wochen;https://www.brandvital.de/greifzange-thomashilfen-selbstschliessend.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/h/thomashilfen_greifzangen_5.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;Die Greifzange erleichtert das Aufnehmen von Gegenständen bei eingeschränkter Gelenkigkeit. Die Greifzange öffnet sich bei Betätigung des Griffes.<br />;;
HD-814046_;7054328140460;814046;Topro;Topro Troja Gepäcktasche;Mobilität > Rollatoren und Zubehör > Rollatoren Zubehör;27.0000;3-4 Tage;https://www.brandvital.de/topro-troja-2g-zusatz-tasche-gepaecktasche.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_2g_zusatz-tasche_5.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Die praktische Topro Troja Zusatz-Tasche (Gepäcktasche) ist mit einer Hand zu öffnen,  nah am Körper, ideal für Ihre Wertsachen wie Geldbeutel  und Schlüssel. Belastbar bis zu 3 kg.</p><br /><p>Für folgende TOPRO Modelle geeignet:</p><br /><ul><br /><li>Troja Classic</li><br /><li>Troja 2G</li><br /><li>Olympos</li><br /><li>Odyssé</li><br /></ul>;;
HB-VIAMOBIL;;1521003;Alber;Rollstuhl Schiebe- und Bremshilfe viamobil V25 ;Mobilität > Rollstühle und Zubehör > Rollstuhl Schiebehilfen;2920;5-6 Wochen;https://www.brandvital.de/viamobil-v25-schiebehilfe-und-bremshilfe.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/v/i/viamobil_v25_rollstuhl_schiebehilfe_und_bremshilfe_5.jpg;https://www.brandvital.de/pub/media/catalog/product/v/i/viamobil_v25_hinten.jpg;https://www.brandvital.de/pub/media/catalog/product/v/i/viamobil_v25_seite.jpg;0;0;0;0;0;0;0;0;0;0;0;;<p><strong>Brems- und Schiebehilfe Viamobil V25</strong></p><br /><p>Das viamobil V25 ist die neue, leistungsstarke Schiebe- und Bremshilfe für fast alle Rollstühle. Die kompakten Abmaße ermöglichen den Anbau an fast jeden Rollstuhl ohne Einschränkung. Aufgrund der überwiegend aus Senioren bestehenden Zielgruppe wurde der Sicherheit und der Bedienerfreundlichkeit des viamobil größte Aufmerksamkeit geschenkt.</p><br /><p><strong>Hat dieselben Ausstattungsmerkmale wie viamobil eco V14, jedoch mit langlebigem, leistungsstarkem Lithium-Ionen-Akku und dem intuitiven Magnetstecker System EasyConnex. Auch für viele Pflegerollstühle geeignet.</strong><br /> <br /> <strong>Besondere Merkmale im Überblick:</strong></p><br /><ul><br /><li>ein kraftvoller Antrieb für hervorragende Steigfähigkeit bergauf bzw. Bremsvermögen bergab (bis 18 % Steigung / Gefälle)</li><br /><li>ein langlebiger, leistungsstarker Lithium-Ionen Akku</li><br /><li>Intuitives Magnetstecker-System EasyConnex. Kontaktieren ganz von selbst, Stecker des Bediengeräts und Ladegeräte finden selber die Anschlussbuchse am Akku-Pack</li><br /><li>patentierter Sicherheitsschalter verhindert Fehlbedienungen</li><br /><li>Intuitive Handhabung durch ergonomisch optimiertes Bediengerät</li><br /><li>geringes Gewicht für leichten Transport</li><br /><li>hoher Lenkkomfort durch zentrales Antriebsrad</li><br /><li>hervorragend ablesbares Display zur Anzeige aller Fahrdaten</li><br /><li>Diagnose-System für optimalen Service</li><br /></ul><br /><p></p><br /><p><strong>Lieferumfang:</strong></p><br /><ul><br /><li>Bediengerät</li><br /><li>Akku-Pack</li><br /><li>Antriebseinheit</li><br /><li>Automatik-Ladegerät (mit EASY Connex)</li><br /></ul><br /><p><span></span></p><br /><p><span></span></p><br /><p><span></span></p><br /><p><strong>Bei der Option "mit persönlicher Übergabe und Einweisung" können wir Ihre Brems- und Schiebehilfe auch sofort in unserer Werkstatt montieren, sofern Sie uns Ihren vorhandenen Rollstuhl vorab zukommen lassen.</strong></p><br /><p><strong>Bitte geben Sie bei Ihrer Bestellung unbedingt Ihren Rollstuhl-Hersteller, Modell sowie Sitzbreite und Sitzhöhe an.</strong></p><br /><p>Bei Fragen kontaktieren Sie uns gerne.</p>;;
GA-Spin-X;;;Invacare;Aktivrollstuhl Spin X von Invacare (vorkonfiguriert);Mobilität > Rollstühle und Zubehör > Aktivrollstühle;1499;Sofort lieferbar;https://www.brandvital.de/aktivrollstuhl-spin-von-invacare.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/s/p/spin_5.jpg;https://www.brandvital.de/pub/media/catalog/product/s/p/spin_hinterradaufnahme.jpg;https://www.brandvital.de/pub/media/catalog/product/s/p/spin_verstauen.jpg;0;0;0;0;0;0;0;0;0;0;0;;<p>Der Invacare GmbH Spin X kombiniert bewährte Baukomponenten und modernes ergonomisches Design zu einem außerordentlich komfortablen Aktivrollstuhl. Durch den speziellen Positionsrahmen und den vielfältig einstellbaren Sitz findet jeder Benutzer eine individuelle, gesunde Sitzhaltung, die ihn bei seinen täglichen Aktivitäten unterstützt. Der Spin x®  ist überwiegend aus leichten Werkstoffen gefertigt und verfügt über einen dualen Faltmechanismus, sodass eine probemlose Handhabung, persönliches Wohlbefinden und große Beweglichkeit überall gewährleistet sind.</p><br /><p></p><br /><p><strong>Vorkonfiguriertes Modell:</strong></p><br /><ul><br /><li>Sitztiefe 45cm</li><br /><li>Sitzbreite 48cm</li><br /><li>Sitzhöhe 45cm</li><br /><li>Vorderräder 125 30mm (5")</li><br /><li>Hinterräder 24"</li><br /><li>Höhenverstellbare Armlehnen</li><br /><li>Garant Trommelbremse</li><br /><li>Höhenverstellbarer Schiebegriff</li><br /><li>Ankipphilfe rechts</li><br /></ul>;;
EE-SCGARAGE;;SCGARAGE;drivemobil;Scootergarage faltbar von drive mobil;Mobilität > Elektromobile und Zubehör > Elektromobil Zubehör;289.0000;1 Woche;https://www.brandvital.de/scootergarage-faltbar-von-drive-mobil.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/d/r/drive_mobil_scootergarage_faltbar_7.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Scootergarage faltbar von drive mobil Artikel-Nr: EE-SCGARAGE</p><br /><p>Die Garage bleibt im aufgebauten Zustand stehen, da die Garage mithilfe eines Stangengerüstes aufgebaut wird.</p><br /><p> </p><br /><p><strong>Merkmale im Überblick:</strong></p><br /><ul><br /><li>Länge: 198 cm </li><br /><li>Breite: 98 cm</li><br /><li>Höhe: 133 cm</li><br /><li>Farbe: blau</li><br /></ul>;;
EE-RT;;RT2993;drivemobil;Scootergarage von drive mobil;Mobilität > Elektromobile und Zubehör > Elektromobil Zubehör;39.99;1 Woche;https://www.brandvital.de/scootergarage-von-drive-mobil.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/d/r/drive_mobil_scootergarage_5.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Die faltbare Scootergarage von drivemobil bietet Ihrem Scooter sicheren Schutz vor Schmutz und Regen. Sie passt auf alle gängige Elektromobile mit einem Sitz sowie auch auf Rollstühle. Die Scootergarage ist einafch zu lagern, da sie sich pratisch zusammenlegen lässt. Bei Verschmutzung können Sie das Kunststoffbewebe einfach feucht abwischen. </p><br /><p><strong>Maße im Überblick:</strong></p><br /><table border="0"><br /><tbody><br /><tr><br /><td>Größe M:</td><br /><td><span>L 120 cm x B 65 cm x H 195 cm</span></td><br /></tr><br /><tr><br /><td>Größe L:</td><br /><td><span>L 140 cm x B 71 cm x H 100 cm</span></td><br /></tr><br /><tr><br /><td>Größe XL:</td><br /><td><span>L 155 cm x B 80 cm x H 125 cm</span></td><br /></tr><br /></tbody><br /></table>;;
EE-950000089;;950000089;drivemobil;Rollator-Halter von drive mobil;Mobilität > Elektromobile und Zubehör > Elektromobil Zubehör;115;1 Woche;https://www.brandvital.de/rollator-halter-von-drive-mobil.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/o/rollator-halter_von_drive_mobil_5.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;Artikel-Nr: EE-950000089<br /><br /><br /><br />Rollator-Halter für die Model PL1303 Sport Rider, PL1300  Royale, PL1300 Cobra, NL700 Santis, NL500 Supreme, NL470 Envoy S, BL450  Spirit und BL350 Envoy.;;
